date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:43	31835/31835	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/heroku-http-api-design-guide	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/heroku-http-api-design-guide.html	(from https://apistylebook.com/design/guidelines/)
17:24:43	188441/188441	---M--	200	added ('OK')	image/png	etag:%225d348b1a-2e019%22	https://apistylebook.com/media/screenshots/microsoft-rest-api-guidelines.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/microsoft-rest-api-guidelines.png	(from https://apistylebook.com/design/guidelines/)
17:24:44	136049/136049	---M--	200	added ('OK')	image/png	etag:%225d348b1a-21371%22	https://apistylebook.com/media/screenshots/paypal-api-style-guide.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/paypal-api-style-guide.png	(from https://apistylebook.com/design/guidelines/)
17:24:44	33469/33469	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/paypal-api-style-guide	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/paypal-api-style-guide.html	(from https://apistylebook.com/design/guidelines/)
17:24:44	143875/143875	---M--	200	added ('OK')	image/png	etag:%225d348b1a-23203%22	https://apistylebook.com/media/screenshots/redhat-thoughts-on-restful-api-design.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/redhat-thoughts-on-restful-api-design.png	(from https://apistylebook.com/design/guidelines/)
17:24:44	26439/26439	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/redhat-thoughts-on-restful-api-design	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/redhat-thoughts-on-restful-api-design.html	(from https://apistylebook.com/design/guidelines/)
17:24:44	131824/131824	---M--	200	added ('OK')	image/png	etag:%225d348b1a-202f0%22	https://apistylebook.com/media/screenshots/white-house-web-api-standards.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/white-house-web-api-standards.png	(from https://apistylebook.com/design/guidelines/)
17:24:45	21326/21326	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/white-house-web-api-standards	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/white-house-web-api-standards.html	(from https://apistylebook.com/design/guidelines/)
17:24:45	322530/322530	---M--	200	added ('OK')	image/png	etag:%225d348b1a-4ebe2%22	https://apistylebook.com/media/screenshots/zalando-restful-api-guidelines.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/zalando-restful-api-guidelines.png	(from https://apistylebook.com/design/guidelines/)
17:24:45	70431/70431	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jul%202019%2015:56:10%20GMT	https://apistylebook.com/design/guidelines/zalando-restful-api-guidelines	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/design/guidelines/zalando-restful-api-guidelines.html	(from https://apistylebook.com/design/guidelines/)
17:24:45	124876/124876	---M--	200	added ('OK')	image/png	etag:%225d348b1a-1e7cc%22	https://apistylebook.com/media/screenshots/adidas-api-design-guidelines.png	C:/Users/Administrator/Documents/departments/Websites/ApiStyleBook/apistylebook.com/media/screenshots/adidas-api-design-guidelines.png	(from https://apistylebook.com/design/guidelines/)
